Wavelength (A)	  Frequency (Hz)	Rel. Intensity
3819.6074 	 1134.4097825341946 	 0.010
3871.791 	 1119.1203244183375 	 0.001
3888.648 	 1114.269021006787 	 0.500
3964.7291 	 1092.8867750384256 	 0.020
4023.973 	 1076.7964894396657 	 0.001
4026.1914 	 1076.20318298827 	 0.050
4120.8154 	 1051.4909258007528 	 0.012
4143.761 	 1045.6684157218526 	 0.003
4168.967 	 1039.3461977511456 	 0.001
4387.9296 	  987.4816587759292 	 0.010
4437.551 	  976.4394820476429 	 0.003
4471.4802 	  969.0303448061785 	 0.200
4713.1457 	  919.3435288877236 	 0.030
4921.9313 	  880.3454855211002 	 0.020
5015.6783 	  863.891131135743 	 0.100
5047.738 	  858.4042991137812 	 0.010
5875.621 	  737.4539644405247 	 0.500
6678.151 	  648.8322890572555 	 0.100
7065.190 	  613.2885315186145 	 0.200
7065.71 	  613.243396629638 	 0.030
7281.349 	  595.0820376828524 	 0.050
