Wavelength (A)	  Frequency (Hz)	Rel. Intensity
3682.823 	 1176.543102940326 	 0.0017
3686.831 	 1175.264068247229 	 0.0020
3691.551 	 1173.7613810563637 	 0.0023
3697.157 	 1171.9816064073016 	 0.0023
3703.859 	 1169.8609477304617 	 0.0028
3711.978 	 1167.3021768986778 	 0.0033
3721.946 	 1164.1759445193456 	 0.0050
3734.369 	 1160.3031194828363 	 0.0060
3750.151 	 1155.420141748959 	 0.0080
3770.633 	 1149.14392357994 	 0.0090
3797.909 	 1140.8909481506798 	 0.0170
3835.397 	 1129.7396332113728 	 0.0300
3889.064 	 1114.1498314247335 	 0.0700
3970.075 	 1091.415149587854 	 0.0300
4101.7 	 	 1056.3912524075383 	 0.0700
4340.472 	  998.2785282337958 	 0.0900
4861.3 	 	  891.325365642935 	 0.1800
6562.7 	 	  660.2465448672041 	 0.5000
